city,lat,lng
Mansalay,12.5204,121.4385
Upi,7.0106,124.1629
Gattaran,18.0611,121.6453
Roxas,12.58,121.5
Ban Rangsit,14.0167,100.75
Canlaon,10.38,123.2
El Salvador,8.57,124.52
Calatagan,13.8322,120.6322
Baganga,7.5752,126.5585
San Luis,15.04,120.7919
Ibaan,13.8176,121.133
Palompon,11.05,124.38
Pursat,12.5333,103.9167
Naval,11.58,124.45
Barotac Nuevo,10.9,122.7
Masantol,14.9,120.72
New Corella,7.5866,125.8237
Cogan,10.58,123.97
Dumanjog,10.05,123.48
Asingan,16.0023,120.6695
Milagros,12.2192,123.5089
Santa Maria,6.55,125.47
Tanauan,11.12,125.02
Buluan,6.7154,124.7854
Boac,13.45,121.83
Cupang,14.4315,121.0486
Alangalang,11.2061,124.8478
Uson,12.2253,123.7834
Jasaan,8.65,124.75
Ban Bang Kaeo,13.6371,100.6636
Machang,5.7608,102.2158
Hagonoy,6.68,125.3
Xam Nua,20.415,104.048
Limbang,4.7592,115.0067
Pinagkaisahan,14.5229,121.0555
Bebandem,-8.4046,115.5395
Lagonoy,13.7353,123.5208
Basey,11.2817,125.0683
Barabai,-2.5833,115.3833
Pangantocan,7.8331,124.8294
Ramon,16.78,121.53
Tiwi,13.4585,123.6805
Binalonan,16.05,120.6
Sucat,14.46,121.05
Placer,11.8689,123.9167
Lian,14.03,120.65
Libungan,7.25,124.52
Magsaysay,6.77,125.18
Sarikei,2.1256,111.5219
Khlong Luang,14.0647,100.6458
Diffun,16.5936,121.5025
Lower Bicutan,14.5033,121.0642
General Tinio,15.35,121.05
Poblacion,10.47,123.97
Bambang,16.3872,121.1075
Paombong,14.8311,120.7892
Iba,15.33,119.98
Mulanay,13.5222,122.4042
Kuala Kapuas,-3.0013,114.3916
Hà Giang,22.8333,104.9833
Urbiztondo,15.8227,120.3295
Batac,18.0554,120.5649
Tatalon,14.6242,121.0153
Asturias,10.5679,123.7172
Taliwang,-8.7336,116.8667
Mercedes,14.1093,123.0109
Kronjo,-6.0667,106.4167
Manapla,10.958,123.123
Lampang,18.3,99.5
Dompu,-8.5364,118.4633
Santa Cruz,13.48,122.03
Carigara,11.3,124.68
Sara,11.25,123.02
Pila,14.23,121.37
Masinloc,15.53,119.95
Pontevedra,10.37,122.88
Trento,8.05,126.06
Tapas,11.2622,122.5369
San Isidro,15.3097,120.9069
San Manuel,16.0656,120.6667
Don Bosco,14.4817,121.0258
Louang Namtha,20.95,101.4
Prachuap Khiri Khan,11.8167,99.8
Tagkawayan,13.97,122.53
Titay,7.8703,122.5594
Minalabac,13.57,123.1844
Vigan,17.5747,120.3869
Cabagan,17.43,121.77
Impasugong,8.3028,125.0014
Magpet,7.12,125.12
Kitaotao,7.6406,125.0086
Louangphabang,19.89,102.1347
A Yun Pa,13.3939,108.4408
Sakon Nakhon,17.1564,104.1456
Ajuy,11.1725,123.0196
Pasacao,13.5103,123.0419
Sibonga,10.03,123.57
Guiuan,11.03,125.73
Estancia,11.45,123.15
Barobo,8.5292,126.1217
Molave,8.0933,123.485
Lucban,14.1133,121.5569
Zaragoza,15.4492,120.7933
Aurora,7.9484,123.5819
Phra Nakhon Si Ayutthaya,14.3478,100.5606
Buenavista,10.7,122.63
Maha Sarakham,16.1772,103.3008
Pigcawayan,7.28,124.43
Karak,-0.5298,101.5721
Hamtic,10.7,121.98
San Joaquin,10.6,122.08
Bani,16.1869,119.8592
President Roxas,7.1544,125.0558
Burauen,10.9833,124.9
Dauis,9.625,123.865
Claveria,8.61,124.8947
Ban Om Noi,13.7001,100.3241
Padangpanjang,-0.45,100.4167
Ibajay,11.8211,122.1617
Sison,16.17,120.52
Naguilian,16.53,120.4
Victoria,13.1719,121.2756
Bato,13.3578,123.3678
Tangkak,2.2667,102.55
Takeo,10.9833,104.7833
Leon,10.7808,122.3894
Muban Saeng Bua Thong,13.9424,100.3913
Padre Garcia,13.88,121.22
Caramoan,13.7707,123.8631
Santa Ignacia,15.62,120.43
Alaminos,14.0635,121.2451
Menggala,-4.475,105.2414
Bantacan,7.5483,126.1381
Samut Prakan,13.5897,100.6386
Ocampo,13.5594,123.3761
San Narciso,13.5677,122.5667
Kalamansig,6.57,124.05
Mabini,13.72,120.9
Cataingan,12.0028,123.9944
Gloria,12.9722,121.4778
El Nido,11.1956,119.4075
Bangued,17.6,120.62
Aringay,16.3982,120.3555
Wao,7.6404,124.7257
Chbar Mon,11.45,104.5
Amulung,17.8387,121.7235
Peñablanca,17.6258,121.7853
Donsol,12.9083,123.5981
Gombong,-7.6,109.5167
Cardona,14.4861,121.2289
Bang Bua Thong,13.9099,100.4263
Tubod,8.05,123.8
Bandar Seri Begawan,4.8903,114.9422
Pananaw,5.98,121.25
Pontevedra,11.48,122.83
Bignay,14.7456,120.9961
Rosario,8.38,126.0
Kandangan,-2.7833,115.2667
Dumarao,11.2631,122.6878
Noveleta,14.43,120.88
Kiblawan,6.62,125.22
Bagumbayan,14.4744,121.0569
Odiongan,12.4,122.0
Carmen,9.82,124.2
Kefamenanu,-9.4467,124.4781
Malabang,7.5903,124.0703
Pio Duran,13.03,123.45
Vinzons,14.1739,122.9081
Sông Đốc,9.0333,104.8167
Dulag,10.9525,125.0317
Libona,8.3333,124.7433
Alcala,15.8468,120.5218
Kangar,6.4333,100.2
Panay,11.5553,122.7931
Dumingag,8.155,123.345
Tunglangan,-8.4167,115.3
Lal-lo,18.2,121.6622
Barotac Viejo,11.05,122.85
Inabanga,10.03,124.07
Siocon,7.7067,122.1361
Minalin,14.97,120.68
Tuba,16.3928,120.5603
Nong Khai,17.8681,102.7444
Mahayag,8.1297,123.4383
Berastagi,3.1833,98.5167
Duyên Hải,9.6331,106.4975
Santa Rita,14.9953,120.6153
Bacolor,14.9984,120.6526
Balimbing,5.0728,119.8847
New Washington,11.6483,122.4339
Tibigan,9.95,123.97
Chong Nonsi,13.6965,100.5427
Luwuk,-0.9396,122.79
Mamburao,13.2233,120.596
Amahai,-3.3331,128.919
Sogod,10.38,124.98
Bunawan,8.18,125.99
Rengam,1.8833,103.4
Poso,-1.4,120.75
Malinao,13.4,123.7
Sumisip,6.42,121.98
Albuera,10.9186,124.6923
Ayungon,9.8584,123.1468
Pilar,11.4878,122.9956
Hà Tiên,10.3833,104.4833
Banisilan,7.5,124.7
Kabasalan,7.7968,122.7627
Isabel,10.93,124.43
Norala,6.55,124.67
Muara Teweh,-0.9535,114.8981
Montevista,7.7053,125.9903
Tuy,14.02,120.73
Lower Tungawan,7.6047,122.4228
Cordon,16.67,121.45
Pagalungan,7.0592,124.6987
Ban Plai Bua Phatthana,13.9032,100.3989
Pilar,14.67,120.57
Talisay,14.1,121.02
Narvacan,17.4192,120.4756
Lawas,4.8333,115.4
Ban Bang Mae Nang,13.8815,100.3759
Dingle,11.05,122.67
Lupao,15.8794,120.8994
Lumba-a-Bayabao,7.88,124.38
Phan Rí Cửa,11.1739,108.5661
Tantangan,6.62,124.75
Maluso,6.55,121.88
Jones,16.5583,121.7
Talagutong,6.27,125.67
Palayan City,15.5422,121.0844
Tayug,16.0267,120.7478
Basud,14.07,122.97
Aguilar,15.8899,120.2379
Bắc Kạn,22.1333,105.8333
Pakxan,18.3964,103.6558
Angadanan,16.7571,121.7479
Maria Aurora,15.7967,121.4737
Buguias,16.8033,120.8211
Parigi,-7.6914,108.5372
Nasipit,8.99,125.34
Barru,-4.3587,119.6399
Manjuyod,9.68,123.15
Pemangkat,1.1768,108.9624
Katipunan,8.5134,123.2847
Concepcion,11.2,123.1
Dolores,12.0378,125.4828
Upper Bicutan,14.4873,121.0503
Culasi,11.4272,122.056
Banaybanay,6.9664,126.0114
San Pascual,13.1286,122.9775
Bacnotan,16.7197,120.3481
Bulalacao,12.325,121.343
San Jacinto,16.0725,120.4411
Kaimana,-3.6444,133.6953
Pagsanjan,14.27,121.45
General Mamerto Natividad,15.603,121.051
Labangan,7.8667,123.5167
Pattani,6.8664,101.2508
Loon,9.8,123.8
Cateel,7.79,126.4531
Maitum,6.03,124.48
Central Signal Village,14.5106,121.0576
Mandaon,12.2259,123.2842
Guinayangan,13.9,122.45
San Jose,13.6981,123.5186
Labason,8.0647,122.52
Loreto,8.19,125.85
Hinatuan,8.3661,126.3361
Baler,15.7583,121.5625
Jaro,11.1894,124.7853
Lubuk Sikaping,0.15,100.1667
Badian,9.8694,123.3959
Kalilangan,7.7464,124.7475
Cameron Highlands,4.5,101.5
Santa Elena,14.1797,122.3919
Roseller Lim,7.6583,122.4639
Guambog,7.3092,125.8556
Cimerak,-7.7422,108.4244
Moises Padilla,10.27,123.08
Toboso,10.72,123.52
Victoria,14.225,121.325
Laurel,14.05,120.9
South Upi,6.8548,124.1443
Rantepao,-2.969,119.9
Abucay,14.7222,120.5354
Lai Châu,22.3992,103.4392
Villaba,11.22,124.4
Santo Tomas,15.0,120.75
Ban Pet,16.4379,102.7645
Nueva Valencia,10.5259,122.5398
Proper Bansud,12.8594,121.4567
Panitan,11.4639,122.7694
Balabac,7.98,117.05
Tucuran,7.8547,123.5783
Singhanakhon,7.2389,100.5506
Carranglan,15.9608,121.0631
Santa Cruz,13.0831,120.7192
Si Sa Ket,15.1069,104.3294
Bang Kruai,13.8042,100.4755
Santa Rita,11.4522,124.9408
Kotabumi,-4.8333,104.9
Llanera,15.6625,121.0197
Polanco,8.5319,123.3631
President Quirino,6.7,124.73
Liloy,8.1228,122.6736
Aritao,16.2973,121.0338
Claveria,12.9035,123.2457
Madridejos,11.27,123.73
Matnog,12.5856,124.0856
Puerto Galera,13.5,120.9542
Hố Nai,10.9725,106.8789
Amadeo,14.1728,120.9277
Kibawe,7.5678,124.9903
Ban Wat Lak Hok,13.5633,100.0564
Larantuka,-8.3133,123.0042
Quezon,15.5542,120.8111
San Miguel,8.9322,126.0403
Kasibu,16.3181,121.2958
Naga,7.7978,122.6944
Kampong Chhnang,12.25,104.6667
Gonzaga,18.2614,121.9969
Daram,11.6341,124.7947
Su-ngai Kolok,6.0333,101.9667
Socorro,13.0583,121.4117
Amuntai,-2.4177,115.2494
Anda,16.2896,119.9491
Tagudin,16.9361,120.4464
Ruteng,-8.6127,120.463
Tabogon,10.93,124.03
Svay Rieng,11.0833,105.8
Mondragon,12.52,124.75
Santa Cruz,17.0853,120.4553
Narathiwat,6.4167,101.8167
Alcala,17.9031,121.6556
Maayon,11.3903,122.7828
Lasam,18.07,121.6
Bacong,9.2464,123.2948
San Jose de Urquico,15.4781,120.4639
Mambajao,9.25,124.72
La Libertad,10.03,123.22
Tagbina,8.4578,126.1578
Tampakan,6.45,124.93
Marikina Heights,14.6534,121.1187
Maddela,16.3411,121.6833
Betun,-9.4953,124.9603
Malilipot,13.32,123.73
Santo Tomas,16.28,120.38
Soe,-9.8667,124.2833
Mobo,12.3372,123.6581
Vallehermoso,10.33,123.32
Lobo,13.65,121.25
Mambusao,11.43,122.5953
Maragondon,14.27,120.73
Nabas,11.8278,122.0939
Siay,7.7056,122.8641
Romblon,12.55,122.28
San Juan,16.67,120.33
Rizal,12.47,120.97
Villanueva,8.58,124.78
Leyte,11.37,124.48
Balaoan,16.82,120.4
Kualaserba,4.2333,97.8667
Bañga,11.6389,122.3331
Payabon,9.77,123.13
Ampana,-0.8667,121.5833
Leramatang,-8.4,123.57
Jambe,-6.316,106.4853
Malalag,6.6,125.4
Balud,12.0369,123.1935
Taysan,13.78,121.2
Dingras,18.1036,120.6975
Bukit Gambir,2.2167,102.6667
Valladolid,10.47,122.83
Cabatuan,16.9589,121.6692
Plaridel,8.6214,123.7101
Panglao,9.579,123.745
Tago,9.0192,126.2333
Baco,13.3584,121.0977
Pamplona,9.47,123.12
Santo Niño,6.43,124.68
Palauig,15.4336,119.9083
San Nicolas,16.07,120.7653
Magsaysay,12.3117,121.1472
Surin,14.8864,103.4932
Alimodian,10.8196,122.4322
Veruela,8.07,125.96
Caraga,7.3283,126.5658
Buldon,7.52,124.37
Talacogon,8.45,125.79
Poblacion,7.5086,125.9206
Manay,7.2108,126.5328
Chachoengsao,13.6903,101.0703
Jordan,10.6,122.6
Kalingalan Caluang,5.88,121.27
Lilio,14.13,121.436
Siniloan,14.42,121.45
Alicia,7.506,122.9412
Sogod,10.75,124.0
Clarin,8.2,123.85
Pamplona,13.5925,123.0833
Damulog,7.4853,124.9411
Kampot,10.6,104.1667
Masamba,-2.5531,120.3275
Bayanan,14.4078,121.05
Manggar,-2.89,108.27
Cakung,-6.2138,106.9473
Agoncillo,13.9334,120.9285
Sual,16.0661,120.0958
San Dionisio,11.2711,123.0948
Gabaldon,15.4506,121.3378
Caluya,11.932,121.548
San Nicolas,18.175,120.595
Cabugao,17.7947,120.4556
Ban Bang Khu Lat,13.9134,100.369
Aborlan,9.4386,118.5481
Valencia,9.28,123.25
Real,14.67,121.6
Jamindan,11.4094,122.5103
Margosatubig,7.5783,123.1659
San Fernando,13.5661,123.1422
Kampung Baharu Nilai,2.8167,101.8
Ban Na Pa,13.3956,101.0232
San Andres,13.5961,124.0992
Maasin,10.88,122.43
Olutanga,7.3106,122.8464
Buug,7.7286,123.0608
Patnongon,10.9142,121.9947
Samal,14.7678,120.5431
Laur,15.5797,121.1864
Borbon,10.83,124.0
Tayasan,9.92,123.15
Sabang,5.8942,95.3192
Mapandan,16.026,120.454
Mantingan,-7.3682,111.1644
Bangar,16.9,120.42
Bagabag,16.6044,121.2521
Luuk,5.9676,121.3133
Namlea,-3.25,127.0833
Bangkinang,0.35,101.0333
Santo Domingo,13.235,123.7769
Marantao,7.95,124.233
Karuhatan,14.6883,120.9761
San Marcelino,14.9742,120.1573
Basista,15.8524,120.3976
Phônsavan,19.46,103.18
Tambulig,8.07,123.5372
San Andres,13.3231,122.6761
Oras,12.1414,125.4392
San Antonio,14.9486,120.0864
Magallanes,12.8283,123.8344
Mabuhay,7.4176,122.837
Bayur,-0.261,100.222
Sitangkai,4.6615,119.3919
Luna,16.85,120.38
Mankayan,16.8567,120.7933
Bantay,17.5839,120.3908
Imbatug,8.3128,124.6873
Languyan,5.2667,120.0833
Long Lama,3.7644,114.4039
Ban Doi Suthep,18.7944,98.9142
Moalboal,9.95,123.4
Chaiyaphum,15.8056,102.0311
Basilisa,10.0654,125.5968
San Enrique,11.0697,122.6567
Manucan,8.5161,123.0917
Sagnay,13.6039,123.5233
Magsaysay,9.02,125.18
Enrile,17.5622,121.7011
Pande,-8.684,115.2264
Aurora,16.9918,121.6357
Las Navas,12.34,125.032
Simbahan,6.3,120.58
Ratchaburi,13.5356,99.8133
Dinas,7.6161,123.3378
Cabanglasan,8.0772,125.2992
Prey Veng,11.4833,105.3167
Siayan,8.2517,123.1144
Cuenca,13.92,121.05
Capalonga,14.3314,122.4928
Canaman,13.6481,123.1711
Gasan,13.32,121.85
Dagami,11.0611,124.9031
San Luis,13.83,120.93
Ban Mueang Na Tai,19.5932,98.9618
Rapu-Rapu,13.18,124.13
Barira,7.4706,124.3561
Gutalac,7.98,122.4
Sibuco,7.2928,122.0669
Matanog,7.47,124.25
Claveria,9.5742,125.7328
Saparua,-3.5749,128.647
Bel-Air,14.5639,121.0263
Krong Kep,10.4875,104.3208
Pandan,11.7206,122.0961
San Antonio,13.9,121.3
Jagna,9.65,124.37
Tambolaka,-9.4333,119.2333
Tam Hiệp,10.9497,106.8575
Pak Chong,14.6796,101.3976
Numancia,11.7042,122.3289
Santa Ana,18.4589,122.1419
Medina,8.92,125.02
Casiguran,12.8731,124.0081
Cha-am,12.7992,99.9683
Pambujan,12.57,124.93
Sungaiselam,-2.3839,105.98
Pola,13.1439,121.44
Bautista,15.8103,120.4756
Morong,14.68,120.2683
Tahuna,3.6119,125.5008
Juban,12.8478,123.9894
Pansol,14.6514,121.08
Gandara,12.013,124.8118
Allacapan,18.227,121.5556
Roi Et,16.0531,103.6511
San Luis,8.5,125.74
Praya,-8.7223,116.2923
Abra de Ilog,13.4448,120.726
Sulop,6.5986,125.3436
Lingig,8.0381,126.4127
Trinidad,10.0795,124.3432
Balasan,11.4728,123.0878
Suong,11.9167,105.65
Phatthalung,7.5,100.0
Guimbal,10.67,122.32
Munai,7.9758,124.0636
Payao,7.5857,122.8022
Mendez-Nuñez,14.1286,120.9058
Leganes,10.78,122.58
Simpang Renggam,1.8333,103.3167
Bugasong,11.0447,122.0647
Dueñas,11.07,122.62
Abulug,18.4441,121.4576
Bonifacio,8.0527,123.6136
Bayog,7.8474,123.0423
Mogpog,13.48,121.87
Santa Maria,14.475,121.425
Barugo,11.32,124.73
Ballesteros,18.4108,121.5169
Santa Fe,11.15,123.8
Aloguinsan,10.2229,123.5491
Kalasin,16.4342,103.5092
Merauke,-8.4932,140.4018
Phra Phutthabat,14.7212,100.8047
Tandubas,5.134,120.3461
Pinukpuk,17.5731,121.3653
New Panamao,5.97,121.2
Simunul,4.898,119.8213
Sibutu,4.85,119.47
General Nakar,14.7631,121.635
Santa Maria,15.9808,120.7003
Pangururan,2.6075,98.6959
Talayan,6.9844,124.3564
Tobelo,1.7319,128.0078
Laoac East,16.0333,120.55
Guindulman,9.762,124.488
San Manuel,17.02,121.63
Cantilan,9.3356,125.9769
San Remigio,10.8331,122.0875
Palapag,12.547,125.116
Jalajala,14.354,121.324
Shariff Aguak,6.8647,124.4417
San Quintin,15.9844,120.815
Milaor,13.5956,123.1781
Sibagat,8.82,125.69
Uttaradit,17.6231,100.0958
Initao,8.5,124.3167
Lupi Viejo,13.7908,122.9092
Lianga,8.633,126.0932
Tabango,11.3067,124.3714
Baclaran,14.5319,120.9942
Dao,11.38,122.63
Waikabubak,-9.6358,119.4131
Tobias Fornier,10.5178,121.945
Naguilian,17.02,121.85
Catmon,10.67,123.95
Kadingilan,7.6003,124.9097
Capoocan,11.2944,124.6419
Midsalip,8.0328,123.3147
Datu Paglas,6.7669,124.85
Batobato,6.8361,126.0889
Koh Kong,11.6167,102.9833
Masiu,7.82,124.32
Sapa Sapa,5.0899,120.2729
Cabarroguis,16.5103,121.5222
Columbio,6.7,124.93
Chumphon,10.4939,99.18
San Vicente,10.5281,119.2542
Bacarra,18.2519,120.6107
Batan,11.5853,122.4981
Getafe,10.15,124.15
Mỹ Hòa,10.3655,105.4011
Ban Pak Phun,8.5391,99.9702
Banate,11.05,122.78
Vintar,18.2306,120.6489
Dupax Del Norte,16.3075,121.1019
Kampong Speu,11.452,104.519
Pandami,5.53,120.75
Dipaculao,15.98,121.63
Mukdahan,16.5431,104.7228
Calape,9.88,123.88
Ban Ang Sila,13.3364,100.9278
Dumalinao,7.82,123.37
Sanana,-2.0545,125.9754
Mayantoc,15.6203,120.3775
Matalom,10.28,124.8
Diplahan,7.6911,122.9853
Balindong,7.92,124.2
Badoc,17.9267,120.4754
Dolores,14.0157,121.4011
Lumbang,14.297,121.459
Peñaranda,15.3531,121.0017
Jimalalud,9.9797,123.1999
Mallig,17.2086,121.6106
Igbaras,10.72,122.27
Catubig,12.4,125.05
Alubijid,8.5714,124.4751
Buguey,18.2882,121.8331
Salug,8.1075,122.7575
Balimbing,7.9,123.85
Caramoran,13.98,124.13
Tamparan,7.879,124.333
Malangas,7.6317,123.0322
Bauko,16.9917,120.8644
Sergio Osmeña Sr,8.3003,123.5083
Polillo,14.72,121.95
Claveria,18.6061,121.0822
Kampong Thom,12.7,104.9
Bửu Long,10.96,106.7967
Pantabangan,15.8086,121.1433
Tubao,16.35,120.42
Sigma,11.4214,122.6662
Calubian,11.4467,124.4278
Chum Phae,16.5431,102.1104
Merida,10.9098,124.5376
Mae Sot,16.7131,98.5747
Airmadidi,1.4333,124.9833
Lemery,11.23,122.93
Bagac,14.5951,120.3918
Dasol,15.9896,119.8805
Dimataling,7.5297,123.3661
Magsingal,17.685,120.4244
Ivisan,11.5217,122.6908
President Roxas,11.4297,122.9247
Paracelis,17.1811,121.4036
Siraway,7.5853,122.1406
Buenavista,13.7394,122.4675
Gata,7.85,124.35
Tairan Camp,6.65,121.87
La Paz,8.28,125.81
Ganassi,7.8269,124.1034
San Narciso,15.02,120.08
Ban Sai Ma Tai,13.8444,100.4829
San Isidro,11.42,124.35
Aglipay,16.4889,121.5874
Balatan,13.32,123.23
Gamu,17.05,121.83
Mataas Na Kahoy,13.97,121.08
Anilao,10.9785,122.7531
Thung Song,8.1669,99.6745
Krabi,8.0592,98.9189
Torrijos,13.32,122.08
Maguing,7.9,124.4
Banlung,13.7468,107.0045
Samrong,13.6421,100.6039
Bai Chay,20.9658,107.0347
Candelaria,15.63,119.93
Pantao-Ragat,8.05,124.15
Las Nieves,8.74,125.6
Calintaan,12.5756,120.9428
Piagapo,8.0,124.2
Candijay,9.818,124.496
Marogong,7.67,124.15
Pulupandan,10.52,122.8
San Miguel,10.78,122.47
Dumalag,11.3039,122.6214
Balete,11.5553,122.3792
Iguig,17.7517,121.7364
Dauin,9.2,123.27
Kulat,-8.8243,115.0983
Santa Maria,17.3719,120.4814
Balungao,15.9,120.7
Kuah,6.3167,99.85
Salay,8.87,124.8
Agno,16.1161,119.8027
Ragan Sur,17.32,121.78
San Roque,12.533,124.867
Padada,6.63,125.35
Balabagan,7.53,124.12
Quiapo,14.6,120.983
San Luis,15.72,121.52
Thuận Tiến,10.0894,105.8281
Bontoc,10.35,124.97
Ranai,3.9333,108.3833
Benito Soliven,16.98,121.95
Phú Mỹ,10.5906,107.0481
Makato,11.712,122.2922
Buenavista,10.08,124.12
San Jacinto,12.5683,123.7336
Pasuquin,18.3342,120.6183
Stung Treng,13.5167,105.9667
West Rembo,14.5667,121.0667
Placer,9.657,125.6016
South Ubian,5.18,120.48
Zamboanguita,9.1,123.199
Sumilao,8.3281,124.9783
Kumalarang,7.7478,123.1442
Manticao,8.4042,124.2867
Garchitorena,13.88,123.7
Lavezares,12.53,124.33
Bagong Pag-Asa,14.6622,121.0331
Licab,15.54,120.7619
Oslob,9.55,123.4
Poona-Piagapo,8.08,124.08
Kamphaeng Phet,16.4811,99.5222
Hinunangan,10.4,125.2
Sexmoan,14.936,120.623
Lugus,5.7,120.82
Santo Domingo,17.6414,120.4108
Kudat,6.8833,116.8333
Dapa,9.7578,126.0528
Ampatuan,6.8348,124.4581
Santo Niño,14.5033,121.0031
Siquijor,9.18,123.58
Ban Phai,16.073,102.7362
Jimenez,8.3333,123.8333
Tabuelan,10.85,123.9
Ponot,8.4428,123.0219
Baleno,12.4739,123.4982
Babatngon,11.4207,124.8434
Tibiao,11.2892,122.0342
Mabini,9.865,124.523
Pilar,9.83,124.33
Bang Phongphang,13.6791,100.5291
Santiago,9.27,125.56
Doña Remedios Trinidad,15.0,121.08
Tudela,8.2472,123.8424
Santo Niño,17.8861,121.5691
Basay,9.42,122.63
Samut Songkhram,13.4097,100.0017
Tha Yang,12.9658,99.8924
Saint Bernard,10.28,125.13
Valencia,9.6097,124.208
San Manuel,15.7975,120.6072
Datu Piang,7.0178,124.4974
Ban Bang Khu Wat,13.9576,100.4903
Libacao,11.48,122.3
Kolambugan,8.1144,123.8971
Warin Chamrap,15.2008,104.8612
Pinyahan,14.64,121.0461
Cabangan,15.13,120.15
Bayang,7.793,124.192
Mainit,9.5369,125.5231
Cuartero,11.3428,122.6714
Lubok Antu,1.05,111.8333
Aloran,8.4146,123.8228
Reina Mercedes Viejo,16.9872,121.8272
Reina Mercedes,16.9872,121.8272
Majayjay,14.1463,121.4729
Caridad,14.4828,120.8958
Dingalan,15.38,121.4
Talusan,7.4263,122.8084
San Isidro,12.388,124.331
Mahaplag,10.6072,124.9636
Magdalena,14.2,121.43
Lapuyan,7.6325,123.1914
Ban Chang,12.7208,101.0669
Di Linh,11.5778,108.0751
Leon Postigo,8.1514,122.9244
Conner,17.8086,121.2889
Pitogo,7.4536,123.3133
Villareal,11.57,124.93
Palanas,12.1464,123.9219
Macalelon,13.75,122.13
Zarraga,10.82,122.6
Ramon Magsaysay,8.0053,123.4869
Talisay,14.1356,122.9244
Taraka,7.8994,124.3481
Buri Ram,14.9942,103.1022
Rappang,-3.8447,119.8205
Long Thành,10.8667,106.9167
Badiangan,10.986,122.5369
San Isidro,16.87,121.77
Quezon,17.3119,121.605
Tarragona,7.0491,126.4471
Tambo,14.5164,120.9889
Alitagtag,13.865,121.0063
Santa Margarita,12.0378,124.6578
Labrador,16.0339,120.1392
Ban Phonla Krang,14.9192,102.1095
Magarao,13.6619,123.1903
Malitbog,8.5361,124.8808
Saguiaran,8.03,124.27
Sapian,11.4939,122.6047
San Juan,17.7431,120.4583
Bien Unido,10.13,124.38
Bugho,10.8,124.93
San Pablo,7.6578,123.4597
Betong,5.7731,101.0725
Pantar,8.0667,124.2667
Macrohon,10.0797,124.9431
Lauaan,11.1429,122.0417
Casiguran,16.28,122.12
Plainview,14.5777,121.0337
Bubong,8.02,124.48
Madalum,7.853,124.119
Kayapa,16.3583,120.8861
Mabini,16.0697,119.94
Nakhon Phanom,17.4069,104.7808
Santa Josefa,7.98,126.03
Del Gallego,13.9233,122.5961
San Jose,10.0083,125.5889
Lagindingan,8.58,124.45
Pandag,6.7411,124.7827
Parit Buntar,5.1167,100.5
San Pablo,17.4478,121.795
Infanta,15.8208,119.9083
Lamut,16.6517,121.2178
Poro,10.629,124.407
Sanchez-Mira,18.5611,121.2344
Suphan Buri,14.4675,100.1169
Manito,13.1235,123.8693
Sierra Bullones,9.82,124.28
Kathu,7.9112,98.3475
Dancagan,7.6119,125.0028
Buenavista,13.25,121.95
Burgos,17.07,121.7
Sinait,17.8667,120.4583
Santa Lucia,17.1222,120.4494
Binidayan,7.8,124.17
Bobon,12.52,124.57
Socorro,9.6181,125.9661
Ban Pa Sak,16.8477,100.2563
Amnat Charoen,15.85,104.6333
Tubay,9.16,125.52
Santo Cristo,14.6603,121.03
Pura,15.6248,120.648
Natividad,16.0422,120.7953
Talisayan,8.9917,124.8833
Santa Maria,17.47,121.75
Tabina,7.4655,123.4086
Ban Piang Luang,19.6493,98.6352
Tarangnan,11.9,124.75
Kanchanaburi,14.0194,99.5311
Altavas,11.5383,122.4869
Alegria,9.7243,123.3402
Busuanga,12.1335,119.9363
Tipo-Tipo,6.53,122.17
Ayuquitan,9.4644,123.2237
Lopez Jaena,8.55,123.7667
Bungku,-2.5333,121.9667
Unisan,13.8413,121.9752
Tumbao,7.12,124.38
Nagtipunan,16.22,121.6
San Miguel,10.0,124.32
Talugtug,15.7789,120.8111
Camalaniugan,18.2756,121.6756
Allen,12.5013,124.282
Sarrat,18.1578,120.6447
Monreal,12.644,123.6648
Pagudpud,18.5614,120.7878
Soccorro,14.6179,121.0558
Camaligan,13.6208,123.1656
San Felipe,15.0619,120.07
Pangil,14.4,121.47
Quirino,17.1356,121.735
Paoay,18.0625,120.5203
Vangviang,18.9267,102.4494
Bidur,4.1167,101.2833
Tegalbuleud,-7.3578,106.622
Paete,14.37,121.48
Dimasalang,12.1933,123.8583
Jabonga,9.3431,125.5156
Solsona,18.0961,120.7725
Piat,17.7919,121.4769
General Luna,13.6881,122.1708
Poblacion,10.1614,125.1303
Pamplona,18.4661,121.3425
Tugaya,7.884,124.172
Kalayaan,14.328,121.48
Ban Khamen,13.8823,100.2879
Tuburan,6.6,122.2
Bintuni,-2.1167,133.5333
Patian,5.8444,121.1439
Baroy,8.03,123.78
Tamilisan,7.9761,122.6639
Ternate,14.28,120.72
Burdeos,14.8436,121.9697
Ban Bang Phun,13.9968,100.5891
Carrascal,9.3683,125.9494
Takhli,15.2667,100.35
Santo Tomas,17.4,121.77
Malinao,11.6431,122.3072
Ấp Khánh Hòa,10.6333,105.2167
Garcia Hernandez,9.6144,124.2946
Ramain,7.97,124.35
Tbeng Meanchey,13.8167,104.9667
Alicia,9.8957,124.4415
Bacolod,8.1892,124.0238
Preah Vihear,13.8167,104.9667
Sagbayan,9.92,124.1
Lucena,10.88,122.6
Kiên Lương,10.2856,104.6444
