city,lat,lng
Teluk Intan,4.0333,101.0167
Purwokerto,-7.4278,109.2417
Phú Yên,21.4156,105.8739
Ormoc,11.0106,124.6075
Sơn Tây,21.1333,105.5
Singkawang,0.9,108.9833
Kulai,1.6667,103.6
Meycauayan,14.73,120.95
Padangsidempuan,1.3786,99.2722
Cikupa,-6.4947,106.6511
Probolinggo,-7.75,113.2167
Beji,-6.3704,106.8176
Dili,-8.5536,125.5783
Sóc Trăng,9.6028,105.9736
Chí Linh,21.133,106.383
Pangkalpinang,-2.1333,106.1167
Bitung,1.4472,125.1978
Santo Tomas,14.08,121.18
Alor Setar,6.1183,100.3694
Batu,-7.872,112.525
Banjarbaru,-3.4425,114.8325
Valencia,7.9042,125.0928
Tân An,10.5333,106.4167
Sa Đéc,10.3,105.7667
Cao Lãnh,10.4672,105.6303
Trece Martires City,14.28,120.87
Pagadian,7.8272,123.4364
Bukit Mertajam,5.3655,100.4607
Legazpi City,13.13,123.73
Panabo,7.3,125.68
Ciputat,-6.3111,106.7619
Lubuklinggau,-3.2967,102.8617
Toledo,10.38,123.65
Marawi City,8.0031,124.285
Banjar,-7.3695,108.5414
San Carlos City,15.9281,120.3489
Phan Thiết,10.9333,108.1
Ternate,0.78,127.3819
Kinh Môn,21.033,106.5
Santa Ana,14.58,121.012
Tanjungpinang,0.9188,104.4554
Phủ Từ Sơn,21.1189,105.9611
Hà Tĩnh,18.3333,105.9
Tarakan,3.3,117.6333
Kabankalan,9.98,122.82
Vĩnh Long,10.25,105.9667
Lạng Sơn,21.8478,106.7578
Lahad Datu,5.03,118.34
Madiun,-7.63,111.5231
Martapura,-3.45,114.8333
Segamat,2.5111,102.8139
Koronadal,6.5,124.85
Tanauan,14.08,121.15
Gorontalo,0.5333,123.0667
Bago,10.5388,122.8384
Malaybalay,8.1564,125.1333
Digos,6.75,125.35
Prabumulih,-3.4328,104.2356
Calbayog City,12.07,124.6
Pasuruan,-7.6406,112.9065
Pak Kret,13.9125,100.4978
Padalarang,-6.8435,107.4779
Vĩnh Châu,9.333,106.0
Trảng Bàng,11.033,106.367
Tumpat,6.1667,102.1667
Pinrang,-3.7857,119.6522
Sorsogon,12.9742,124.0058
Lhokseumawe,5.1881,97.1403
Palopo,-3.0,120.2
Petarukan,-6.8961,109.4514
Singosari,-7.8925,112.6658
Quảng Yên,20.917,106.833
Tanjungbalai,2.97,99.8
Roxas City,11.5894,122.7511
Purwakarta,-6.5533,107.4472
Langsa,4.48,97.9633
Tebingtinggi,3.3194,99.1522
Cianjur,-6.82,107.1408
Rantau Prapat,2.3333,100.05
Salatiga,-7.3247,110.5444
Curug,-6.3711,106.8
Dagupan City,16.043,120.334
Bắc Giang,21.2667,106.2
Lubao,14.93,120.6
Mexico,15.07,120.72
Keningau,5.3333,116.1667
Hạ Long,20.95,107.0667
Mang La,14.3617,108.0083
Polomolok,6.22,125.07
General Mariano Alvarez,14.3,121.0
San Miguel,15.1458,120.9783
Metro,-5.1167,105.3
Surigao,9.7897,125.4958
Bảo Lộc,11.5481,107.8075
Concepcion,15.3249,120.6554
Baliuag,14.954,120.901
Phan Rang-Tháp Chàm,11.5667,108.9833
Sampit,-2.5333,112.95
Tuguegarao,17.6133,121.7303
Sawangan,-6.4086,106.7647
Baubau,-5.4667,122.633
Ungaran,-7.1381,110.405
Sariaya,13.97,121.53
Bontang,0.1333,117.5
Tân Phú,11.272,107.4367
Naic,14.32,120.77
Kidapawan,7.0083,125.0894
Đồng Hới,17.4831,106.5997
Trà Vinh,9.9333,106.35
Ninh Bình,20.2539,105.975
Cadiz,10.95,123.3
Ilagan,17.1489,121.8894
Bima,-8.46,118.7267
Châu Đốc,10.7,105.1167
Danao,10.53,123.93
Bạc Liêu,9.2833,105.7167
Capas,15.3372,120.59
Cẩm Phả,21.0167,107.3167
Tigaraksa,-6.2667,106.4667
Pandi,14.87,120.95
Singaraja,-8.1167,115.0833
San Jose,12.3528,121.0676
Poblacion,10.42,123.97
Vĩnh Yên,21.31,105.5967
Hòa Thành,11.2831,106.1297
Gò Công,10.3667,106.6667
Long Khánh,10.917,107.167
Minglanilla,10.245,123.7964
Đức Phổ,14.81,108.96
San Jose,15.8037,120.9991
Đồng Xoài,11.5169,106.8392
Mariveles,14.43,120.48
Saumlaki,-7.975,131.3075
Sagay,10.9,123.42
Santiago,16.68,121.55
Consolacion,10.4,123.95
Siem Reap,13.3622,103.8597
Mati,6.9483,126.2272
Hưng Yên,20.65,106.0667
Pageralam,-4.0167,103.25
Cam Ranh,11.902,109.2207
Pleiku,13.9833,108.0
Calapan,13.414,121.18
Calapan,13.414,121.18
Kisaran,2.9833,99.6125
Arayat,15.1493,120.7692
Urdaneta,15.9761,120.5711
Cinere,-6.3333,106.7833
Calabayan,16.77,121.78
Malasiqui,15.92,120.42
Tinipuka,-4.55,136.89
Bocaue,14.8,120.93
Tân Châu,10.7739,105.2369
Subang,-6.5714,107.7614
Tabaco,13.35,123.73
Porac,15.0719,120.5419
Ozamiz City,8.15,123.85
Batu Pahat,1.8522,102.9372
Giá Rai,9.25,105.417
Payatas,14.7099,121.0997
Tanay,14.4972,121.2864
Teluknaga,-6.0989,106.6381
Dipolog,8.5872,123.3408
Candelaria,13.9311,121.4233
Gunungsitoli,1.2833,97.6167
La Trinidad,16.46,120.59
Jolo,6.0,121.0
Rangkasbitung,-6.3667,106.25
Gingoog,8.82,125.1
Phủ Lý,20.5411,105.9139
Nasugbu,14.07,120.63
Carcar,10.12,123.63
Batang,-6.9081,109.7304
Norzagaray,14.92,121.05
Floridablanca,14.974,120.528
Tây Ninh,11.3678,106.1189
Dumaguete City,9.3103,123.3081
Ba Đồn,17.7547,106.4231
Gubeng,-7.2729,112.7493
Daraga,13.1619,123.6939
San Andres,14.5739,121.0039
Hagonoy,14.83,120.73
Batu Gajah,4.4667,101.05
Long Bình,10.9458,106.8775
Naga,10.22,123.75
San Carlos,10.4929,123.4095
Adonara,-8.25,123.15
Talavera,15.5839,120.9189
Blitar,-8.1,112.15
Surat Thani,9.1397,99.3306
Lào Cai,22.4806,103.975
Angono,14.5234,121.1536
Silay,10.8,122.97
City of Isabela,6.7,121.97
Udon Thani,17.4167,102.75
Mojokerto,-7.4722,112.4336
Battambang,13.1,103.2
Parepare,-4.0167,119.6236
Bamban,15.2742,120.5669
Guagua,14.97,120.63
Santo Tomas,7.53,125.62
Rosario,13.846,121.206
Tuaran,6.1833,116.2333
Garut,-7.2167,107.9
Buôn Hồ,12.8544,108.2703
Guimba,15.6606,120.765
Santa Cruz,14.5998,120.9802
San Juan,14.604,121.03
San Fernando,16.62,120.32
Payakumbuh,-0.2333,100.6333
Cam Ranh,11.9136,109.1369
Magelang,-7.4667,110.2167
Leuwiliang,-6.5742,106.632
Bến Tre,10.2333,106.3833
Magalang,15.22,120.67
Savannakhet,16.55,104.75
Cai Lậy,10.417,106.083
Paleng,-1.4,123.1667
Santa Cruz,14.28,121.42
Gapan,15.3122,120.9489
Pati,-6.7415,111.0347
Bayawan,9.37,122.8
Bayan Lepas,5.2833,100.2667
Indramayu,-6.3528,108.3242
Tam Kỳ,15.5667,108.4833
Hội An,15.8833,108.3333
Hòa Bình,20.8133,105.3383
Chơn Thành,11.4292,106.6572
Tabuk,17.4069,121.4425
Thành Phố Uông Bí,21.0356,106.7644
Kotamobagu,0.7333,124.3167
Kỳ Anh,18.0678,106.2967
Poblacion,14.3854,121.029
Ban Bang Pu Mai,13.5441,100.6175
Đông Hòa,12.9931,109.3314
Pelabuhanratu,-6.9878,106.5439
Candaba,15.0933,120.8283
Port Dickson,2.5167,101.8
Calumpit,14.92,120.77
Soasio,0.6833,127.4
Kampong Cham,11.987,105.462
Dinalupihan,14.88,120.47
Malita,6.4108,125.6144
Ligao,13.22,123.52
Banyuwangi,-8.2186,114.3669
Midsayap,7.19,124.53
Apalit,14.9496,120.7587
Soreang,-7.0372,107.5167
Samal,7.05,125.73
Datu Odin Sinsuat,7.1889,124.1839
Himamaylan,10.1,122.87
Bongao,5.0292,119.7731
San Ildefonso,15.0789,120.9419
Tarogong,-7.215,107.8856
Los Baños,14.17,121.22
Rawajaya,-7.58,108.8828
Rawasari,-7.5733,108.8833
Iriga City,13.4231,123.4122
Plaridel,14.8869,120.8569
San Juan,13.826,121.396
Bintulu,3.1733,113.0433
Kuningan,-6.9764,108.4844
Tawau,4.2583,117.8944
Guiguinto,14.83,120.88
Bukittinggi,-0.3056,100.3692
Manolo Fortich,8.3675,124.8656
Mangaldan,16.07,120.4039
Libmanan,13.6964,123.06
Tayabas,14.02,121.58
Subic,14.8769,120.2328
Baybay,10.68,124.8
Daet,14.1142,122.9564
Laoag,18.1978,120.5936
Baleraja,-6.5167,107.9169
Santamesa,14.6,121.0167
Rosario,14.42,120.85
Quezon,7.7306,125.1
Naujan,13.3233,121.3028
Glan,5.82,125.2
Bayugan,8.71,125.75
Tacurong,6.68,124.67
Labo,14.1561,122.8294
Sầm Sơn,19.7333,105.9
Talisay,10.73,122.97
Pulilan,14.902,120.849
Bà Rịa,10.4992,107.1675
Móng Cái,21.5333,107.9667
Cawayan,9.97,122.62
Maramag,7.7631,125.005
Lingayen,16.0167,120.2333
Kawit,14.43,120.9
Manokwari,-0.8667,134.0833
La Gi,10.66,107.7719
Bagong Silangan,14.7094,121.1
Tenggarong,-0.4,116.9667
Catbalogan,11.78,124.88
Nakhon Si Thammarat,8.4364,99.9631
Tiaong,13.95,121.32
Carmona,14.32,121.05
Raba,-8.4614,118.7469
Sơn La,21.327,103.9141
Bình Hòa,10.9061,106.7308
Sông Cầu,13.55,109.2
Bình Long,11.6527,106.6093
Maluñgun,6.27,125.28
Bulan,12.6697,123.8758
Sultan Kudarat,7.23,124.25
Tagbilaran City,9.65,123.85
Tuyên Quang,21.8167,105.2167
Masbate,12.27,123.58
Tam Điệp,20.1556,105.9181
Balanga,14.68,120.53
Sindangan,8.2386,122.9986
Biak,-1.18,136.08
San Rafael,14.95,120.97
Tanjungpandan,-2.75,107.75
Paniqui,15.6681,120.5789
Parang,7.3744,124.2686
Guihulñgan,10.12,123.27
Ban Mangkon,13.6138,100.6104
Simanggang,1.2353,111.4697
Sungai Penuh,-2.0589,101.3914
Ngã Bảy,9.8164,105.8197
Hồng Ngự,10.833,105.283
Santa Cruz,6.83,125.42
Salavan,15.7167,106.4167
Bỉm Sơn,20.0781,105.8603
Sungailiat,-1.8561,106.1192
Cavite City,14.48,120.9
Yên Bái,21.7,104.8667
Calasiao,16.02,120.37
Lamitan,6.65,122.13
Talipao,5.976,121.1087
Nabire,-3.3682,135.4964
Ciamis,-7.3281,108.3336
Putatan,14.3984,121.0364
Alaminos,16.1553,119.9808
Bislig,8.2133,126.3161
Malate,14.5642,120.9913
Pili,13.5542,123.2753
Sisophon,13.5833,102.9833
Paoy Paet,13.65,102.5667
Oton,10.6931,122.4736
M’lang,6.95,124.88
Catarman,12.4994,124.6328
Isulan,6.63,124.6
Vị Thanh,9.7833,105.4708
Sumber,-6.7544,108.4858
Tomohon,1.325,124.8389
Escalante,10.83,123.5
Balayan,13.93,120.73
Hương Thủy,16.4,107.6889
Balamban,10.47,123.78
Labuan,5.3,115.22
Sibolga,1.74,98.78
Lopez,13.884,122.2604
Gerona,15.6069,120.5986
Monkayo,7.8239,126.0536
